2025-01-05 10:03:15 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:03:15 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:03:15 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:03:16 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:57 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:57 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:57 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:58 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:58 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:58 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:58 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:59 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:59 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:11:59 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:00 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:00 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:00 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:00 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:00 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:00 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:01 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:01 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:01 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:02 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:02 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:02 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:02 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:03 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:03 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:04 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:04 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
2025-01-05 10:12:05 info: Success on : http://localhost:4000/api/v1/auth/nickname/validate | status: 200
